City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Leningradskiy,RU,2020-10-31 17:37:18,69.38,178.42,18.46,92,92,10.18
143,Hambantota,LK,2020-10-31 17:33:09,6.12,81.12,79.75,81,29,12.41
144,Douentza,ML,2020-10-31 17:37:19,15.0,-2.95,87.06,13,0,4.18
145,Sayyan,YE,2020-10-31 17:37:19,15.17,44.32,55.44,36,12,5.39
146,Karasjok,NO,2020-10-31 17:37:19,69.47,25.51,32.0,97,75,14.99
147,Atyrau,KZ,2020-10-31 17:37:19,47.12,51.88,55.4,30,0,17.9
148,Fortuna,US,2020-10-31 17:33:59,40.6,-124.16,50.0,81,1,4.45
149,Arraial Do Cabo,BR,2020-10-31 17:37:19,-22.97,-42.03,69.8,94,90,5.82
150,Sibolga,ID,2020-10-31 17:37:20,1.74,98.78,77.83,81,100,3.11
151,Bethel,US,2020-10-31 17:33:49,41.37,-73.41,44.01,52,1,3.36
152,Saint-Joseph,RE,2020-10-31 17:37:20,-21.37,55.62,68.0,64,0,5.82
153,Saskylakh,RU,2020-10-31 17:37:20,71.92,114.08,-4.85,83,1,6.2
154,Jeremie,HT,2020-10-31 17:37:20,18.65,-74.12,85.08,67,94,4.14
155,Niono,ML,2020-10-31 17:36:15,14.25,-5.99,87.13,15,44,4.0
156,Cap Malheureux,MU,2020-10-31 17:37:21,-19.98,57.61,66.0,73,3,1.01
157,Zhigansk,RU,2020-10-31 17:34:40,66.77,123.37,-8.01,90,88,1.81
158,Ahuimanu,US,2020-10-31 17:36:47,21.44,-157.84,72.0,88,20,1.28
159,Inongo,CD,2020-10-31 17:37:22,-1.95,18.27,75.76,81,43,4.47
160,Punta Alta,AR,2020-10-31 17:37:22,-38.88,-62.07,76.28,23,0,4.07
161,Colmenar Viejo,ES,2020-10-31 17:37:22,40.66,-3.77,66.0,59,0,2.24
162,Mizan Teferi,ET,2020-10-31 17:37:16,6.98,35.58,63.79,91,98,1.81
163,Kruisfontein,ZA,2020-10-31 17:37:22,-34.0,24.73,63.0,77,44,8.68
164,Fremont,US,2020-10-31 17:35:02,37.55,-121.99,62.01,82,5,3.36
165,Morrope,PE,2020-10-31 17:37:23,-6.54,-80.01,75.99,64,75,6.93
166,Mao,ES,2020-10-31 17:36:34,39.89,4.27,64.4,77,0,4.7
167,Cozumel,MX,2020-10-31 17:36:46,20.51,-86.95,82.99,83,75,6.93
168,Jumla,NP,2020-10-31 17:33:34,29.27,82.18,47.52,53,34,5.99
169,Constitucion,CL,2020-10-31 17:35:00,-35.33,-72.42,66.72,56,1,5.37
170,Caravelas,BR,2020-10-31 17:34:07,-17.71,-39.25,73.71,95,100,1.95
171,Ust-Omchug,RU,2020-10-31 17:37:24,61.15,149.63,21.76,96,100,3.89
172,Comodoro Rivadavia,AR,2020-10-31 17:33:14,-45.87,-67.5,68.0,49,0,5.82
173,Nikolskoye,RU,2020-10-31 17:37:24,59.7,30.79,39.99,86,20,4.27
174,Khasan,RU,2020-10-31 17:37:24,42.43,130.64,48.27,66,44,2.84
175,Narsaq,GL,2020-10-31 17:34:05,60.92,-46.05,28.4,68,40,3.36
176,Port Hedland,AU,2020-10-31 17:37:25,-20.32,118.57,75.2,88,0,9.17
