City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Currrent Description
245,Kamaishi,JP,39.27,141.88,61.59,75,100,12.75,2020-11-01 22:42:19,light rain
246,Karratha,AU,-20.74,116.85,74.03,64,97,11.86,2020-11-01 22:46:49,overcast clouds
247,Bilma,NE,18.69,12.92,70.45,25,0,6.22,2020-11-01 22:46:49,clear sky
248,Awbari,LY,26.59,12.78,60.04,55,0,5.5,2020-11-01 22:46:49,clear sky
249,Hailey,US,43.52,-114.32,62.6,20,5,9.17,2020-11-01 22:46:50,clear sky
250,Mae Sai,TH,20.43,99.88,71.6,100,0,1.19,2020-11-01 22:46:50,mist
251,Kavaratti,IN,10.57,72.64,80.92,72,0,2.95,2020-11-01 22:46:50,clear sky
252,Jhawarian,PK,32.36,72.62,65.59,23,0,1.25,2020-11-01 22:46:50,clear sky
253,Tamandare,BR,-8.76,-35.1,77.81,83,55,10.29,2020-11-01 22:46:50,broken clouds
254,Kahului,US,20.89,-156.47,89.6,52,40,12.75,2020-11-01 22:44:34,scattered clouds
255,Igrim,RU,63.19,64.42,28.08,96,57,8.01,2020-11-01 22:46:51,broken clouds
256,Kirkuk,IQ,35.47,44.39,69.08,23,34,10.02,2020-11-01 22:46:51,scattered clouds
257,Olafsvik,IS,64.89,-23.71,36.79,81,52,17.0,2020-11-01 22:46:51,light rain
258,Palana,RU,59.12,159.97,31.15,92,100,6.51,2020-11-01 22:46:52,overcast clouds
259,Tutoia,BR,-2.76,-42.27,80.74,81,42,11.01,2020-11-01 22:46:32,scattered clouds
260,Pontianak,ID,-0.03,109.33,76.78,91,100,2.1,2020-11-01 22:46:52,light rain
261,Tsuyama,JP,35.05,134.0,60.8,100,75,3.36,2020-11-01 22:46:52,shower rain
262,Coolum Beach,AU,-26.53,153.1,75.99,70,16,7.0,2020-11-01 22:46:53,few clouds
263,Port Hedland,AU,-20.32,118.57,75.2,78,75,8.05,2020-11-01 22:46:53,broken clouds
264,Sola,VU,-13.88,167.55,80.98,82,67,18.12,2020-11-01 22:46:53,broken clouds
265,Mumford,GH,5.26,-0.76,78.94,88,100,9.55,2020-11-01 22:46:53,overcast clouds
266,Bardiyah,LY,31.76,25.09,68.13,60,7,6.2,2020-11-01 22:46:54,clear sky
267,Rocha,UY,-34.48,-54.33,51.1,85,0,3.36,2020-11-01 22:46:26,clear sky
268,Hastings,GB,50.86,0.57,61.0,100,100,29.97,2020-11-01 22:46:54,overcast clouds
269,Kolda,SN,12.88,-14.95,79.59,41,0,3.78,2020-11-01 22:46:54,clear sky
270,Amahai,ID,-3.33,128.92,84.0,93,100,2.71,2020-11-01 22:46:55,light rain
